route_id,organisation,category,contact_type,contact_value,hours,coverage,is_emergency,notes
R-0001,Police and Crime Commissioner,Police emergency,Online form,https://example.invalid/police-and-crime-commissioner,24/7,National,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0002,Protection Against Stalking,Legal advice,Online form,https://example.invalid/protection-against-stalking,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0003,Mind,Victim support,24/7 helpline,0808 404 8485,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0004,Standards Committee,Reporting abuse,In person,https://example.invalid/standards-committee,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0005,Standards Committee,Reporting abuse,In person,https://example.invalid/standards-committee,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0006,Samaritans,Safeguarding referral,In person,https://example.invalid/samaritans,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0007,Suzy Lamplugh Trust,Legal advice,24/7 helpline,0808 722 9943,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0008,Citizens Advice,Mental health support,Telephone,0808 957 9553,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0009,Suzy Lamplugh Trust,Mental health support,Telephone,0808 608 1707,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0010,Monitoring Officer,Safeguarding referral,Online form,https://example.invalid/monitoring-officer,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0011,Police and Crime Commissioner,Safeguarding referral,Telephone,0808 794 1586,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0012,Victim Support,Victim support,In person,https://example.invalid/victim-support,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0013,Police and Crime Commissioner,Mental health support,Telephone,0808 386 3858,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0014,Stop Hate UK,Safeguarding referral,Email,support14@example.invalid,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0015,National Cyber Security Centre,Police non-emergency,Telephone,0808 609 6568,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0016,Police and Crime Commissioner,Employer HR route,Telephone,0808 898 9189,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0017,Cambridgeshire Constabulary,Employer HR route,24/7 helpline,0808 181 9278,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0018,Police and Crime Commissioner,Legal advice,24/7 helpline,0808 124 5034,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0019,National Cyber Security Centre,Online safety,24/7 helpline,0808 364 1174,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0020,National Cyber Security Centre,Employer HR route,24/7 helpline,0808 847 5623,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0021,Internet Watch Foundation,Legal advice,Telephone,0808 264 8424,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0022,Internet Watch Foundation,Police non-emergency,Online form,https://example.invalid/internet-watch-foundation,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0023,Mind,Employer HR route,Telephone,0808 855 3289,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0024,Police and Crime Commissioner,Advocacy,Telephone,0808 424 5286,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0025,National Cyber Security Centre,Online safety,In person,https://example.invalid/national-cyber-security-centre,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0026,Samaritans,Peer support,24/7 helpline,0808 655 3028,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0027,National Cyber Security Centre,Standards complaint,In person,https://example.invalid/national-cyber-security-centre,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0028,Protection Against Stalking,Reporting abuse,Online form,https://example.invalid/protection-against-stalking,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0029,Suzy Lamplugh Trust,Legal advice,Email,support29@example.invalid,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0030,Local Government Association,Advocacy,Email,support30@example.invalid,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0031,Suzy Lamplugh Trust,Police non-emergency,Email,support31@example.invalid,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0032,Mind,Peer support,24/7 helpline,0808 944 5210,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0033,Internet Watch Foundation,Victim support,24/7 helpline,0808 775 9722,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0034,Suzy Lamplugh Trust,Reporting abuse,In person,https://example.invalid/suzy-lamplugh-trust,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0035,Police and Crime Commissioner,Police emergency,Online form,https://example.invalid/police-and-crime-commissioner,24/7,Regional,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0036,Internet Watch Foundation,Online safety,Email,support36@example.invalid,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0037,Action Fraud,Peer support,Telephone,0808 547 5323,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0038,Cambridgeshire Constabulary,Legal advice,24/7 helpline,0808 375 1550,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0039,Protection Against Stalking,Advocacy,24/7 helpline,0808 930 8020,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0040,Standards Committee,Reporting abuse,Telephone,0808 926 8418,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0041,Samaritans,Advocacy,Telephone,0808 728 2826,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0042,Victim Support,Legal advice,24/7 helpline,0808 546 1069,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0043,Victim Support,Police emergency,Online form,https://example.invalid/victim-support,24/7,Force area,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0044,Action Fraud,Safeguarding referral,Telephone,0808 293 9093,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0045,Mind,Employer HR route,24/7 helpline,0808 456 8017,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0046,Police and Crime Commissioner,Legal advice,In person,https://example.invalid/police-and-crime-commissioner,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0047,Cambridgeshire Constabulary,Standards complaint,Telephone,0808 201 6634,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0048,Cambridgeshire Constabulary,Police non-emergency,Online form,https://example.invalid/cambridgeshire-constabulary,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0049,Suzy Lamplugh Trust,Advocacy,24/7 helpline,0808 421 7386,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0050,Stop Hate UK,Legal advice,Telephone,0808 768 3544,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0051,Internet Watch Foundation,Police emergency,Email,support51@example.invalid,24/7,Regional,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0052,Internet Watch Foundation,Mental health support,Telephone,0808 294 2366,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0053,Local Government Association,Advocacy,24/7 helpline,0808 165 6271,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0054,National Cyber Security Centre,Police non-emergency,Online form,https://example.invalid/national-cyber-security-centre,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0055,Samaritans,Peer support,In person,https://example.invalid/samaritans,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0056,Citizens Advice,Police emergency,Online form,https://example.invalid/citizens-advice,24/7,Regional,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0057,Internet Watch Foundation,Advocacy,24/7 helpline,0808 602 3936,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0058,Mind,Online safety,Email,support58@example.invalid,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
